epoch,step,min,max,mean,std
1,10000,0.03980088606476784,0.03980088606476784,0.03980088606476784,0.0
2,20000,0.039540067315101624,0.039540067315101624,0.039540067315101624,0.0
3,30000,-0.017227647826075554,-0.017227647826075554,-0.017227647826075554,0.0
4,40000,-0.025717299431562424,-0.025717299431562424,-0.025717299431562424,0.0
5,50000,-0.0020141098648309708,-0.0020141098648309708,-0.0020141098648309708,0.0
6,60000,-0.03114505670964718,-0.03114505670964718,-0.03114505670964718,0.0
7,70000,-0.009912479668855667,-0.009912479668855667,-0.009912479668855667,0.0
8,80000,-0.03540380671620369,-0.03540380671620369,-0.03540380671620369,0.0
9,90000,-0.0495399534702301,-0.0495399534702301,-0.0495399534702301,0.0
10,100000,0.011131513863801956,0.011131513863801956,0.011131513863801956,0.0
